gate_id,description,soft_scale_c,val_accuracy,val_correct_count,val_log_loss,val_norm_rps,val_brier,val_ece,val_draw_recall,mean_val_g,test_accuracy,test_correct_count,test_log_loss,test_norm_rps,test_brier,test_ece,test_draw_recall,mean_test_g,rescued_matches_n01,regression_matches_n10,net_gain,mcnemar_p_value
D1_Disagreement_Close_Elo,Temporal ONLY when Disagreement AND Close Elo,0.5,0.594864396999423,10309,0.8757132263333925,0.1723095547094589,0.5154650176665082,0.007941241345746494,0.01347305389221557,0.0120600115406809,0.5994547657512116,5937,0.8680061561703477,0.1693414889345054,0.5105898958873156,0.016637186766497683,0.011708586296617519,0.011409531502423263,43,52,-9,0.4117700649021424
D1_Disagreement_Close_Elo,Temporal ONLY when Disagreement AND Close Elo,0.25,0.5950375072129256,10312,0.8756942691924637,0.17231489677940376,0.5154607062595412,0.007436675463010047,0.014970059880239521,0.00603000577034045,0.6002625201938611,5945,0.8679168786385296,0.16931891678435868,0.5105308043644884,0.01593227509484632,0.012575888985255855,0.005704765751211632,26,27,-1,1.0
G5_Strong_Underdog_Gate,Temporal ONLY for underdogs with positive momentum,0.25,0.5963646855164455,10335,0.8758068265123637,0.1723373926227141,0.5154893176727187,0.007396869608722927,0.015718562874251496,0.07257645701096364,0.6005654281098546,5948,0.867932386710834,0.16935778253470601,0.5105718309625741,0.018197936516003013,0.013009540329575022,0.07216781098546042,19,17,2,0.8676323347781927
D1_Disagreement_Close_Elo,Temporal ONLY when Disagreement AND Close Elo,0.75,0.5949221004039238,10310,0.8758642525135608,0.17234867989292263,0.515564468774547,0.007881367962586965,0.01347305389221557,0.01809001731102135,0.5990508885298869,5933,0.8682042273966896,0.1694029739999171,0.5107327223762949,0.016946711265123548,0.011708586296617519,0.017114297253634895,53,66,-13,0.27131547988984805
G3_High_Volatility_Gate,Temporal ONLY for high volatility matches,0.5,0.596537795729948,10338,0.8761959361556199,0.17235330115799408,0.5156005145449457,0.007388448480583507,0.013972055888223553,0.12504327755337566,0.602483844911147,5967,0.8682740926990596,0.1693075705912428,0.5105706755055897,0.01473189094722409,0.013009540329575022,0.12873586429725364,47,26,21,0.019241289593884825
D3_Disagreement_Underdog_Mom,Temporal ONLY when Disagreement AND Underdog Momentum,0.25,0.5963646855164455,10335,0.8757788948053848,0.1723563387936383,0.5155266744619842,0.006241683960091277,0.015718562874251496,0.004125793421811887,0.6005654281098546,5948,0.8679652777510763,0.16934999559093966,0.5105804229704068,0.01543344136397815,0.013009540329575022,0.003963045234248788,19,17,2,0.8676323347781927
G2_Close_Match_Gate,Temporal ONLY for close matches (|dElo| < 50),0.5,0.594864396999423,10309,0.8761438071744007,0.17236100038423463,0.5156878188939106,0.009508656999508853,0.01347305389221557,0.09105597230236584,0.5994547657512116,5937,0.868127629811803,0.1692908118976112,0.5106036677670396,0.01485058439431767,0.011708586296617519,0.08703554119547657,43,52,-9,0.4117700649021424
D2_Disagreement_High_Vol,Temporal ONLY when Disagreement AND High Volatility,1.0,0.5953837276399307,10318,0.8757811236057986,0.1723610625112459,0.5155310405046014,0.007589159813687258,0.013972055888223553,0.02088863242931333,0.6015751211631664,5958,0.8676636372344504,0.16923208056941472,0.5103568267504173,0.01435723022965338,0.013009540329575022,0.02110258481421648,79,67,12,0.36262927056263283
G4_Congested_Schedule_Gate,Temporal ONLY for congested matches (<4d rest),0.25,0.5954414310444316,10319,0.8757226351531515,0.17236205930705065,0.5154929724122003,0.00741024385498603,0.015219560878243513,0.07348528563185228,0.599656704361874,5939,0.8676755990403651,0.16931144401116957,0.5104700970976755,0.01725376917996493,0.011708586296617519,0.07777160743134087,20,27,-7,0.3814705611511898
G0_Champion_Only,Baseline Champion only (g=0 everywhere),1.0,0.5957876514714369,10325,0.8758171673380607,0.17236470610275711,0.5155515345536463,0.007178613122580094,0.01721556886227545,0.0,0.6003634894991923,5946,0.867943404320134,0.1693352575494768,0.510555447807813,0.015709535012174876,0.015177797051170859,0.0,0,0,0,0.31731050786291415
