date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,gate_pred,category,gate_weight_g,champ_p_away,champ_p_draw,champ_p_home,gate_p_away,gate_p_draw,gate_p_home,elo_home,elo_away,abs_elo_diff,home_rest_days,away_rest_days,home_form5_pts,away_form5_pts,avg_volatility,is_regime_1,is_regime_2,is_regime_3,is_regime_4,is_regime_5,is_regime_6,is_regime_7,is_regime_8,is_regime_9
2024-03-21,Singapore,China,2,2,FIFA World Cup qualification,Kallang,Singapore,False,1,1,2,2,D_Both_Wrong,0.25,0.22907319509406682,0.23721619780155312,0.5337106071043801,0.20086242760606088,0.2183589061788799,0.5807786662150592,1325.0339237864923,1571.6996558483622,246.6657320618699,60.0,59.0,1.8,0.4,22.65554860452448,True,False,False,False,True,False,False,False,True
2024-03-21,Taiwan,Kyrgyzstan,0,2,FIFA World Cup qualification,Taipei,Taiwan,False,2,2,2,2,A_Both_Correct,0.25,0.23880818112694305,0.25120680825991265,0.5099850106131444,0.2333826420128122,0.24116065392170657,0.5254567040654813,1212.6154978049578,1419.098106605291,206.48260880033308,60.0,56.0,1.2,1.0,18.035068858007158,True,False,False,False,False,False,True,False,True
2024-03-21,South Africa,Andorra,1,1,FIFA Series,Annaba,Algeria,True,1,1,0,0,D_Both_Wrong,0.25,0.905810843514781,0.07527801182292337,0.01891114466229553,0.8982082095354452,0.07992574447768969,0.02186604598686517,1653.428354621381,1179.4993660495518,473.9289885718292,40.0,60.0,1.4,0.0,22.74741905827353,False,False,True,False,True,False,False,False,True
2024-03-21,Guinea,Vanuatu,6,0,FIFA Series,Jeddah,Saudi Arabia,True,0,0,0,0,A_Both_Correct,0.25,0.5349739961031785,0.2219083392745373,0.24311766462228412,0.5763555825530994,0.2150918240389478,0.2085525934079529,1554.6442011625097,1494.0954158575175,60.54878530499218,48.0,60.0,1.4,1.4,23.10349367548551,False,True,False,False,False,False,False,False,True
2024-03-21,Panama,Mexico,0,3,CONCACAF Nations League,Arlington,United States,True,2,2,2,2,A_Both_Correct,0.25,0.2894274382676888,0.2788766322284968,0.4316959295038144,0.31209188945391286,0.28288684410819115,0.40502126643789604,1797.8113090324484,1881.1701808663704,83.35887183392197,60.0,60.0,2.6,1.4,29.78817698349856,False,True,False,True,False,True,False,False,True
2024-03-21,United States,Jamaica,3,1,CONCACAF Nations League,Arlington,United States,False,0,0,0,0,A_Both_Correct,0.25,0.7384064637867127,0.17886122841308105,0.08273230780020611,0.7338799911487336,0.18040036914092022,0.0857196397103463,1859.1396573302047,1669.6794318696789,189.46022546052586,60.0,18.0,1.2,1.6,29.63849076690759,False,False,False,False,False,True,False,False,True
2024-03-21,Gibraltar,Lithuania,0,1,UEFA Nations League,Faro-Loulé,Portugal,True,2,2,2,2,A_Both_Correct,0.25,0.09756484667217553,0.12317377995843871,0.7792613733693857,0.09888352823269156,0.12902336000241432,0.7720931117648941,1227.1435480599932,1357.7979983718456,130.65445031185232,60.0,60.0,0.0,0.8,22.663158205729424,False,True,False,False,True,False,False,False,True
2024-03-21,Poland,Estonia,5,1,UEFA Euro qualification,Warsaw,Poland,False,0,0,0,0,A_Both_Correct,0.25,0.8387916549645053,0.1258338134633123,0.03537453157218253,0.82886642697486,0.1299018655795624,0.041231707445577546,1795.9694040469103,1460.0539082872187,335.91549575969157,60.0,60.0,1.6,0.2,28.595838802596504,False,False,True,False,True,True,False,False,True
2024-03-21,Wales,Finland,4,1,UEFA Euro qualification,Cardiff,Wales,False,0,0,0,0,A_Both_Correct,0.25,0.6144414363234492,0.2668000696940139,0.11875849398253689,0.6155956755868903,0.2612233488151461,0.12318097559796354,1764.5345809960334,1668.96695959987,95.5676213961633,60.0,60.0,2.2,1.2,18.897699045263394,False,True,False,True,False,False,True,False,True
2024-03-21,Cape Verde,Guyana,1,0,FIFA Series,Jeddah,Saudi Arabia,True,0,0,0,0,A_Both_Correct,0.25,0.6753840455868567,0.2030913987162017,0.12152455569694164,0.7117539065923776,0.18320470185341023,0.10504139155421224,1622.385056572152,1445.1017569289597,177.28329964319232,47.0,60.0,2.2,3.0,30.0,True,False,False,True,False,True,False,False,True
