date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2016-05-28,Mexico,Paraguay,1,0,Friendly,Atlanta,United States,True,0,0,0,0,A_Both_Correct,0.4951441384044379,0.2870888908543549,0.21776697074120718,0.5256050095288137,0.2705362312324319,0.20385875923875438
2016-05-28,New Zealand,Fiji,3,1,Oceania Nations Cup,Port Moresby,Papua New Guinea,True,0,0,0,0,A_Both_Correct,0.479794996841372,0.24182122691195287,0.2783837762466751,0.5203544531373845,0.2608095665950535,0.21883598026756207
2016-05-28,Gabon,Mauritania,0,2,Friendly,Cornellà de Llobregat,Spain,True,2,2,0,0,D_Both_Wrong,0.5918074056981251,0.2653555852028518,0.1428370090990231,0.5858391120392674,0.2818303749768952,0.13233051298383738
2016-05-28,El Salvador,Peru,1,3,Friendly,Seattle,United States,True,2,2,2,2,A_Both_Correct,0.13379669708427572,0.22515638304500013,0.6410469198707242,0.13845273232002236,0.22873940683816626,0.6328078608418114
2016-05-28,Costa Rica,Venezuela,2,1,Friendly,San José,Costa Rica,False,0,0,0,0,A_Both_Correct,0.6455334889207772,0.236837288775466,0.11762922230375687,0.6458875311851008,0.22965721930697072,0.1244552495079286
2016-05-28,Myanmar,Malaysia,0,0,Friendly,Yangon,Myanmar,False,1,1,0,0,D_Both_Wrong,0.4390933449127738,0.3158032604771035,0.2451033946101228,0.5181844292880102,0.2944830423871543,0.18733252832483546
2016-05-28,Guatemala,Armenia,1,7,Friendly,Carson,United States,True,2,2,0,0,D_Both_Wrong,0.4832729317770607,0.2902178261200597,0.2265092421028795,0.40764914448540657,0.28309663923891776,0.3092542162756756
2016-05-29,Portugal,Norway,3,0,Friendly,Porto,Portugal,False,0,0,0,0,A_Both_Correct,0.6977054843990809,0.19642306115552352,0.10587145444539567,0.7041447805101286,0.20404117816730524,0.09181404132256621
2016-05-29,Sápmi,Somaliland,5,0,CONIFA World Football Cup,Gagra,Georgia,True,0,0,0,0,A_Both_Correct,0.47318406411203084,0.17925836371073728,0.3475575721772319,0.6825572714073337,0.12472833834384452,0.1927143902488218
2016-05-29,Padania,Northern Cyprus,1,2,CONIFA World Football Cup,Gagra,Georgia,True,2,2,0,0,D_Both_Wrong,0.552194378503552,0.20615899443702554,0.24164662705942244,0.6429924673412353,0.2008242405128935,0.1561832921458712
2016-05-29,Iraqi Kurdistan,Székely Land,3,0,CONIFA World Football Cup,Sukhumi,Georgia,True,0,0,0,0,A_Both_Correct,0.7099679051775681,0.16158436165340825,0.12844773316902364,0.8908670112993525,0.061569434111734975,0.047563554588912565
2016-05-29,Abkhazia,Chagos Islands,9,0,CONIFA World Football Cup,Sukhumi,Georgia,False,0,0,0,0,A_Both_Correct,0.6751794694521527,0.19793661085147515,0.12688391969637222,0.7978268739707627,0.11299786175162496,0.08917526427761241
2016-05-29,Turkey,Montenegro,1,0,Friendly,Antalya,Turkey,False,0,0,0,0,A_Both_Correct,0.7087328885173266,0.18342362768729983,0.10784348379537351,0.6927777327492385,0.20644680232872556,0.10077546492203594
2016-05-29,Tahiti,Samoa,4,0,Oceania Nations Cup,Port Moresby,Papua New Guinea,True,0,0,0,0,A_Both_Correct,0.7452130028247388,0.10894351183242734,0.14584348534283395,0.8092726664930844,0.08714969343865085,0.10357764006826474
2016-05-29,Romania,Ukraine,3,4,Friendly,Turin,Italy,True,2,2,1,1,D_Both_Wrong,0.2847496480193782,0.3807948409330368,0.33445551104758503,0.32846159204729547,0.36287206232559205,0.3086663456271124
2016-05-29,Papua New Guinea,New Caledonia,1,1,Oceania Nations Cup,Port Moresby,Papua New Guinea,False,1,1,2,2,D_Both_Wrong,0.22451969142451372,0.18022791566539162,0.5952523929100947,0.3263282180490175,0.1907812369383604,0.4828905450126221
2016-05-29,Laos,Nepal,1,1,Friendly,Vientiane,Laos,False,1,1,2,2,D_Both_Wrong,0.2454437610590273,0.21878883558123002,0.5357674033597427,0.30466694527527055,0.2610483753917321,0.4342846793329973
2016-05-29,Kenya,Tanzania,1,1,Friendly,Nairobi,Kenya,False,1,1,0,0,D_Both_Wrong,0.4810354316915933,0.3400279419241207,0.17893662638428595,0.49847639983753506,0.3379930179898137,0.1635305821726513
2016-05-29,Italy,Scotland,1,0,Friendly,Attard,Malta,True,0,0,0,0,A_Both_Correct,0.4600055503282922,0.3047698321689879,0.23522461750271986,0.41070423909334525,0.3296456914140481,0.2596500694926066
2016-05-29,Germany,Slovakia,1,3,Friendly,Augsburg,Germany,False,2,2,0,0,D_Both_Wrong,0.7175838167831666,0.18027173581274317,0.10214444740409018,0.7346165809434212,0.18264013257316336,0.08274328648341546
2016-05-29,Cambodia,Timor-Leste,2,0,Friendly,Phnom Penh,Cambodia,False,0,0,0,0,A_Both_Correct,0.7715233246301045,0.12053795934156068,0.10793871602833487,0.7293335298952235,0.1381392536336114,0.1325272164711652
2016-05-29,Bosnia and Herzegovina,Spain,1,3,Friendly,St. Gallen,Switzerland,True,2,2,2,2,A_Both_Correct,0.1273551927683159,0.27180767638706715,0.600837130844617,0.1418775729773013,0.26438141072788807,0.5937410162948107
2016-05-29,Azerbaijan,North Macedonia,1,3,Friendly,Bad Erlach,Austria,True,2,2,2,2,A_Both_Correct,0.26769726426792234,0.3241299331284957,0.40817280260358185,0.2411012837155764,0.28144282777165497,0.4774558885127687
2016-05-29,Albania,Qatar,3,1,Friendly,Hartberg,Austria,True,0,0,0,0,A_Both_Correct,0.3625438281315528,0.3137321675848961,0.32372400428355114,0.36352427080554583,0.3254011720239985,0.3110745571704557
2016-05-29,Lithuania,Estonia,2,0,Baltic Cup,Klaipėda,Lithuania,False,0,0,0,0,A_Both_Correct,0.3807681977590763,0.3229063646669792,0.2963254375739445,0.37009615024765485,0.2994750558311556,0.3304287939211896
2016-05-30,Sweden,Slovenia,0,0,Friendly,Malmö,Sweden,False,1,1,0,0,D_Both_Wrong,0.6748213329888672,0.21497865380450285,0.11020001320662999,0.6522646343078745,0.23971229243151074,0.10802307326061468
2016-05-30,Sápmi,Panjab,0,1,CONIFA World Football Cup,Gagra,Georgia,True,2,2,0,0,D_Both_Wrong,0.6425687080152557,0.10612952102294732,0.25130177096179707,0.6632844737966385,0.11721048561167029,0.21950504059169132
2016-05-30,Raetia,Padania,0,6,CONIFA World Football Cup,Gagra,Georgia,True,2,2,2,2,A_Both_Correct,0.0923093778599753,0.12034502972926386,0.7873455924107607,0.07461202868086331,0.0867591872287134,0.8386287840904232
2016-05-30,United Koreans in Japan,Székely Land,1,0,CONIFA World Football Cup,Sukhumi,Georgia,True,0,0,0,0,A_Both_Correct,0.4783458433268548,0.14581758090530522,0.37583657576783996,0.46380460410578284,0.17485446903021218,0.361340926864005
2016-05-30,France,Cameroon,3,2,Friendly,Nantes,France,False,0,0,0,0,A_Both_Correct,0.738311563455263,0.1672546533853896,0.09443378315934736,0.781158693940178,0.15473493600246574,0.06410637005735643
2016-05-30,Gambia,Zambia,0,0,Friendly,Bakau,Gambia,False,1,1,2,2,D_Both_Wrong,0.33163797043455406,0.2710549582314039,0.397307071334042,0.3449080721408703,0.293542821924338,0.3615491059347916
2016-05-30,Chagos Islands,Western Armenia,0,12,CONIFA World Football Cup,Sukhumi,Georgia,True,2,2,0,0,D_Both_Wrong,0.5985108140310156,0.09200682828442505,0.30948235768455923,0.6677448430829063,0.12357774744416274,0.20867740947293095
2016-05-31,Abkhazia,Western Armenia,1,0,CONIFA World Football Cup,Sukhumi,Georgia,False,0,0,0,0,A_Both_Correct,0.6103271734862457,0.24352352785874498,0.14614929865500942,0.4912919080464613,0.26543689046848934,0.2432712014850495
2016-05-31,United Koreans in Japan,Iraqi Kurdistan,0,3,CONIFA World Football Cup,Sukhumi,Georgia,True,2,2,2,2,A_Both_Correct,0.2919330246030982,0.2046067142984162,0.5034602610984855,0.27255589965444155,0.2244233017050369,0.5030207986405215
2016-05-31,Zimbabwe,Uganda,2,0,Friendly,Harare,Zimbabwe,False,0,0,0,0,A_Both_Correct,0.3978544847914857,0.33207367123736836,0.27007184397114586,0.36090211180564763,0.30876935702749314,0.3303285311668592
2016-05-31,Somaliland,Panjab,0,5,CONIFA World Football Cup,Gagra,Georgia,True,2,2,2,2,A_Both_Correct,0.329114504418122,0.15713600108491704,0.513749494496961,0.17025016773526847,0.15321259175463922,0.6765372405100925
2016-05-31,Northern Cyprus,Raetia,7,0,CONIFA World Football Cup,Gagra,Georgia,True,0,0,0,0,A_Both_Correct,0.8669649990802063,0.054178088328544496,0.07885691259124919,0.8688749807767455,0.062093802412817374,0.0690312168104371
2016-05-31,Vietnam,Syria,2,0,Friendly,Thanh Hóa,Vietnam,False,0,0,2,2,D_Both_Wrong,0.2794035529896161,0.24300352917057227,0.4775929178398116,0.2788737287730086,0.24845553816750482,0.4726707330594866
2016-05-31,Serbia,Israel,3,1,Friendly,Novi Sad,Serbia,False,0,0,0,0,A_Both_Correct,0.650446733856485,0.21890952183045076,0.13064374431306439,0.6870655390018191,0.19833116911604295,0.11460329188213801
2016-05-31,Solomon Islands,Fiji,0,1,Oceania Nations Cup,Port Moresby,Papua New Guinea,True,2,2,2,2,A_Both_Correct,0.3482702176941564,0.22750084186921107,0.42422894043663245,0.3063319150652343,0.24510314405021022,0.4485649408845555
2016-05-31,Vanuatu,New Zealand,0,5,Oceania Nations Cup,Port Moresby,Papua New Guinea,True,2,2,2,2,A_Both_Correct,0.28453570574117576,0.23714570014842848,0.4783185941103958,0.25448608224086056,0.27465035569807317,0.47086356206106633
2016-05-31,Luxembourg,Nigeria,1,3,Friendly,Luxembourg,Luxembourg,False,2,2,2,2,A_Both_Correct,0.0644713526150304,0.17531127184960565,0.760217375535364,0.1258444888788323,0.2322148438192482,0.6419406673019195
2016-05-31,Kenya,Sudan,1,1,Friendly,Nairobi,Kenya,False,1,1,0,0,D_Both_Wrong,0.4293128613565936,0.3722376765371091,0.19844946210629735,0.45682037366109157,0.34616169099665345,0.19701793534225498
2016-05-31,Republic of Ireland,Belarus,1,2,Friendly,Cork,Republic of Ireland,False,2,2,0,0,D_Both_Wrong,0.7338051628174544,0.1652220358026977,0.10097280137984783,0.7325990172074013,0.18034408920889242,0.08705689358370643
2016-05-31,Austria,Malta,2,1,Friendly,Klagenfurt,Austria,False,0,0,0,0,A_Both_Correct,0.8909282271551695,0.0786366533601505,0.03043511948468005,0.886797423924075,0.08183700744628321,0.03136556862964181
2016-06-01,United Koreans in Japan,Northern Cyprus,1,1,CONIFA World Football Cup,Sukhumi,Georgia,True,1,1,2,2,D_Both_Wrong,0.3054168513546806,0.20248889663536518,0.49209425200995427,0.19995474937125315,0.2060671174507355,0.5939781331780113
2016-06-01,Saint Kitts and Nevis,Suriname,1,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False,0,0,0,0,A_Both_Correct,0.5387079595721401,0.2453905534611199,0.21590148696673991,0.5376094988481581,0.2751842790650415,0.18720622208680032
2016-06-01,Spain,South Korea,6,1,Friendly,Salzburg,Austria,True,0,0,0,0,A_Both_Correct,0.5284854253055199,0.30830801497619176,0.1632065597182883,0.5981265531883421,0.27222484092460464,0.12964860588705326
2016-06-01,Poland,Netherlands,1,2,Friendly,Gdańsk,Poland,False,2,2,0,0,D_Both_Wrong,0.38597503708255904,0.2858202457551475,0.3282047171622936,0.3697014115502982,0.3322912362784389,0.29800735217126295
