date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,r4_pred,category,champion_p_away,champion_p_draw,champion_p_home,r4_p_away,r4_p_draw,r4_p_home
2018-06-22,Nigeria,Iceland,2,0,FIFA World Cup,Volgograd,Russia,True,0,0,0,2,B_Regression_R4_Wrong,0.35767198650636195,0.2859567548002366,0.3563712586934015,0.3582405353827419,0.270768309895275,0.37099115472198296
2018-07-06,Uruguay,France,0,2,FIFA World Cup,Nizhny Novgorod,Russia,True,2,2,2,0,B_Regression_R4_Wrong,0.2869246774422537,0.30869530890324903,0.40438001365449733,0.3726521683616724,0.3140458706246212,0.31330196101370644
2018-09-06,Bangladesh,Pakistan,1,0,SAFF Cup,Dhaka,Bangladesh,False,0,0,0,2,B_Regression_R4_Wrong,0.3737347874211997,0.27880279780450756,0.34746241477429257,0.25527906549796453,0.28792531430578455,0.45679562019625103
2018-09-06,Austria,Sweden,2,0,Friendly,Vienna,Austria,False,0,0,0,1,B_Regression_R4_Wrong,0.3691965777861593,0.3374070422650369,0.29339637994880374,0.3423908402108114,0.34859365288180494,0.30901550690738355
2018-09-11,Hungary,Greece,2,1,UEFA Nations League,Budapest,Hungary,False,0,0,0,2,B_Regression_R4_Wrong,0.4118813913647579,0.31057678312867354,0.27754182550656864,0.32021624368696505,0.32551842440616824,0.35426533190686676
2018-10-11,Faroe Islands,Azerbaijan,0,3,UEFA Nations League,Tórshavn,Faroe Islands,False,2,2,2,0,B_Regression_R4_Wrong,0.33384757904514784,0.3174559917131397,0.3486964292417125,0.3948719168414525,0.31367186837829997,0.2914562147802475
2018-10-11,Poland,Portugal,2,3,UEFA Nations League,Chorzów,Poland,False,2,2,2,0,B_Regression_R4_Wrong,0.32957415660764033,0.3288815013220951,0.34154434207026446,0.35217907230152506,0.31539838412726384,0.33242254357121104
2018-10-16,Laos,Mongolia,1,4,Friendly,Vientiane,Laos,False,2,2,2,0,B_Regression_R4_Wrong,0.34101299578454475,0.2879313253292783,0.371055678886177,0.47019783902219586,0.25720626440557615,0.27259589657222794
2018-10-21,Parishes of Jersey,Yorkshire,2,1,Friendly,St. Peter,Jersey,False,0,0,0,2,B_Regression_R4_Wrong,0.42140216410226783,0.16447427726028874,0.4141235586374435,0.2950476665524241,0.13251742935147334,0.5724349040961025
2018-11-16,Bermuda,El Salvador,1,0,CONCACAF Nations League qualification,Hamilton,Bermuda,False,0,0,0,2,B_Regression_R4_Wrong,0.39200254154485664,0.2687317584872324,0.339265699967911,0.2595093141977912,0.2409995793338721,0.49949110646833655
2018-11-18,Guinea,Ivory Coast,1,1,African Cup of Nations qualification,Conakry,Guinea,False,1,1,1,0,B_Regression_R4_Wrong,0.33139742232481223,0.3352026939225762,0.3333998837526116,0.36195682303782317,0.3312296298521484,0.30681354711002834
2018-12-02,Philippines,Vietnam,1,2,AFF Championship,Bacolod,Philippines,False,2,2,2,0,B_Regression_R4_Wrong,0.35432003459874034,0.2856298346699963,0.36005013073126335,0.3469304309172283,0.33222152433211855,0.3208480447506532
