matchup_possession_diff,matchup_directness_diff,matchup_pressing_diff,matchup_tempo_diff,matchup_width_diff,tactical_h_press_vs_a_possession,tactical_a_press_vs_h_possession,tactical_h_direct_vs_a_compact,tactical_a_direct_vs_h_compact,tactical_width_vs_backline_diff,inter_continuity_x_tactical_stab,inter_replacement_x_formation_changed,inter_star_reliance_x_possession
6.0,1.7999999999999972,38.0,-4.799999999999997,0.0,1.222,0.5724,0.45503999999999994,0.89376,-0.15000000000000002,0.656,0.0,0.0
6.0,1.1999999999999957,38.0,-4.800000000000004,0.0,1.1844,0.53,0.41184,0.8572799999999999,-0.15000000000000002,0.656,0.0,0.0
2.0,0.6000000000000014,3.0,-2.0,0.0,1.5052,1.4960000000000002,0.9023999999999999,0.9669599999999999,-0.30000000000000004,0.0,0.0,0.0
-6.0,-1.7999999999999972,-17.0,-1.2000000000000028,0.0,1.0176,1.222,0.8390400000000001,0.73944,-0.7,0.0,0.0,0.0
-3.0,-0.6000000000000014,-35.0,6.0,0.0,0.288,0.9,0.738,0.29184000000000004,-0.30000000000000004,0.82,0.0,0.0
5.0,1.2000000000000028,32.0,-4.000000000000007,0.0,1.0080000000000002,0.48,0.44352,0.81,-0.15000000000000002,0.328,0.0,0.0
-8.0,-2.3999999999999986,-37.0,1.1999999999999957,0.0,0.6148,1.1880000000000002,0.882,0.5498399999999999,-0.7,0.0,0.0,0.0
-3.0,-1.1999999999999957,-21.0,-4.400000000000006,0.0,1.0176,1.38,0.88704,0.8152799999999999,-0.7,0.0,0.0,0.0
4.0,1.1999999999999957,20.0,3.200000000000003,0.0,1.4,1.08,0.8532,0.9424800000000001,-0.15000000000000002,0.656,0.0,0.0
-9.0,-2.3999999999999986,-42.0,5.600000000000001,0.0,0.54,1.2060000000000002,0.9540000000000001,0.474,-0.7,0.0,0.0,0.0
1.0,0.0,-1.0,-3.6000000000000014,0.0,1.3992000000000002,1.4472000000000003,0.9100799999999999,0.98592,-0.15000000000000002,0.656,0.0,0.0
-5.0,-1.2000000000000028,-21.0,5.200000000000003,0.0,0.54,0.864,0.792,0.49896000000000007,-0.30000000000000004,0.82,0.0,0.0
3.0,0.5999999999999943,21.0,-0.3999999999999986,0.0,1.2544,0.8944,0.6926399999999999,0.88704,-0.15000000000000002,0.49199999999999994,0.0,0.0
5.0,1.1999999999999957,23.0,-3.6000000000000014,0.0,1.1656,0.8112,0.59904,0.87552,-0.15000000000000002,0.49199999999999994,0.0,0.0
-6.0,-1.1999999999999957,-21.0,5.200000000000003,0.0,0.8056000000000001,1.1092,0.9302400000000001,0.63648,-0.7,0.0,0.0,0.0
6.0,1.1999999999999957,23.0,-7.600000000000001,0.0,1.1092,0.7632,0.5428799999999999,0.912,-0.15000000000000002,0.49199999999999994,0.0,0.0
0.0,0.6000000000000014,8.0,2.4000000000000057,0.0,1.4688,1.296,0.92904,0.9359999999999999,-0.30000000000000004,0.0,0.0,0.0
-2.0,0.0,-4.0,-1.6000000000000014,0.0,0.6392,0.684,0.5836800000000001,0.5836800000000001,-0.15000000000000002,0.0,0.0,0.0
-6.0,-1.1999999999999957,-15.0,2.0,0.0,0.9936000000000001,1.1712,0.912,0.7488,-0.7,0.0,0.0,0.0
-8.0,-0.6000000000000014,-25.0,3.6000000000000014,0.0,0.7776000000000001,1.1224,0.9302400000000001,0.6283200000000001,-0.7,0.0,0.0,0.0
-4.0,-0.6000000000000014,-7.0,1.2000000000000028,0.0,0.9776,1.0368,0.8572799999999999,0.77616,-0.7,0.0,0.0,0.0
6.0,0.6000000000000014,13.0,-2.0,0.0,0.9568000000000001,0.8112,0.68376,0.8390400000000001,-0.15000000000000002,0.49199999999999994,0.0,0.0
-2.0,0.5999999999999943,-6.0,2.3999999999999986,0.0,1.254,1.3356000000000001,0.97344,0.8500800000000001,-0.15000000000000002,0.656,0.0,0.0
9.0,1.2000000000000028,22.0,0.0,0.0,1.1592,0.902,0.75768,0.936,-0.15000000000000002,0.82,0.0,0.0
9.0,0.6000000000000014,24.0,-1.6000000000000014,0.0,1.1592,0.8580000000000001,0.7022400000000001,0.9484800000000001,-0.15000000000000002,0.82,0.0,0.0
-5.0,-0.6000000000000014,-17.0,0.3999999999999986,0.0,0.7343999999999999,0.9752000000000001,0.8208000000000001,0.66528,-0.7,0.0,0.0,0.0
