date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2024-06-21,Slovakia,Ukraine,1,2,UEFA Euro,Düsseldorf,Germany,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3619282591236603,0.27706713280845374,0.3610046080678859,0.34708637715393525,0.27411055416127655,0.37880306868478825
2024-09-10,Namibia,Kenya,1,2,African Cup of Nations qualification,Johannesburg,South Africa,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3650376207588634,0.2757664624542197,0.35919591678691687,0.36166635130904856,0.27154569803486023,0.3667879506560912
2024-10-13,Liechtenstein,Gibraltar,0,0,UEFA Nations League,Vaduz,Liechtenstein,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3845005394858599,0.3445730009104283,0.27092645960371176,0.37662610196983093,0.3865550531236743,0.2368188449064948
2025-03-25,Chile,Ecuador,0,0,FIFA World Cup qualification,Santiago,Chile,False,1,1,0,1,C_Rescued_Candidate_Correct,0.4004475193879329,0.38643510943399645,0.21311737117807067,0.37526809780724507,0.4249863710282336,0.19974553116452134
2025-06-10,Peru,Ecuador,0,0,FIFA World Cup qualification,Lima,Peru,False,1,1,0,1,C_Rescued_Candidate_Correct,0.3691443981022404,0.36911803926934866,0.261737562628411,0.36903039387477676,0.3909771587067882,0.23999244741843503
2025-09-07,Thailand,Iraq,0,1,King's Cup,Kanchanaburi,Thailand,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3635706461374021,0.2958203798841912,0.3406089739784066,0.34863364988021717,0.294192039670962,0.3571743104488207
2025-11-13,Guatemala,Panama,2,3,FIFA World Cup qualification,Guatemala City,Guatemala,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3534764211657792,0.3144832902206857,0.332040288613535,0.3437830938932994,0.31228326515038013,0.3439336409563204
2026-01-04,South Africa,Cameroon,1,2,African Cup of Nations,Rabat,Morocco,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3550234487619963,0.3067245916106884,0.33825195962731525,0.34113765303431065,0.31494134925059697,0.34392099771509244
2026-03-26,Brazil,France,1,2,Friendly,Foxborough,United States,True,2,2,0,2,C_Rescued_Candidate_Correct,0.3591334332226084,0.28267380177343043,0.35819276500396124,0.34266639447687103,0.2833813169017331,0.3739522886213958
2026-03-27,Greece,Paraguay,0,1,Friendly,Athens,Greece,False,2,2,0,2,C_Rescued_Candidate_Correct,0.36689844770967006,0.3061976335195065,0.32690391877082337,0.3438320595332913,0.31133078997456937,0.34483715049213925
2026-06-01,Maldives,Afghanistan,0,1,Diamond Jubilee International Football Tournament,Malé,Maldives,False,2,2,0,2,C_Rescued_Candidate_Correct,0.3620615067684839,0.29070417246020325,0.3472343207713129,0.34293519714414067,0.29119690945828286,0.3658678933975765
2026-06-09,Kyrgyzstan,Palestine,0,0,Friendly,Bishkek,Kyrgyzstan,False,1,1,0,1,C_Rescued_Candidate_Correct,0.34637986657723735,0.32981283482925555,0.32380729859350704,0.32747684319074905,0.340194409569492,0.3323287472397589
