home_formation_backline_count,home_formation_midfield_count,home_formation_forward_count,home_formation_width_idx,home_formation_changed,home_formation_stability_5,home_formation_stability_10,home_formation_entropy,away_formation_backline_count,away_formation_midfield_count,away_formation_forward_count,away_formation_width_idx,away_formation_changed,away_formation_stability_5,away_formation_stability_10,away_formation_entropy,inter_replacement_x_formation_changed
4.0,4.0,2.0,0.7,0.0,1.0,0.9,0.32508297338944825,4.0,4.0,2.0,0.7,1.0,0.6,0.8,0.6390318596471769,0.0
4.0,3.0,3.0,0.85,0.0,0.4,0.2,0.8018185525403373,4.0,3.0,3.0,0.85,1.0,0.0,0.1,0.32508297338944825,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.5004024235361879,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.8979457248537798,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.5004024235361879,0.0
4.0,3.0,3.0,0.85,1.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,1.0,0.4,0.3,0.8979457248537798,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.32508297338944825,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.6390318596471769,0.0
4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,0.0,0.8,0.8,0.5004024235361879,0.0
4.0,4.0,2.0,0.7,0.0,1.0,0.9,0.32508297338944825,4.0,4.0,2.0,0.7,0.0,0.4,0.6,0.8979457248537798,0.0
4.0,3.0,3.0,0.85,1.0,0.6,0.7,0.8018185525403373,4.0,3.0,3.0,0.85,1.0,0.4,0.3,0.8979457248537798,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.8,0.6390318596471769,4.0,3.0,3.0,0.85,0.0,0.2,0.1,0.32508297338944825,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.8979457248537798,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.8018185525403373,0.0
4.0,3.0,3.0,0.85,0.0,0.6,0.7,0.8018185525403373,4.0,3.0,3.0,0.85,1.0,0.2,0.1,0.32508297338944825,0.0
4.0,4.0,2.0,0.7,1.0,0.0,0.1,0.6390318596471769,4.0,4.0,2.0,0.7,1.0,0.0,0.0,0.5004024235361879,0.0
4.0,3.0,3.0,0.85,1.0,0.0,0.2,0.8018185525403373,4.0,3.0,3.0,0.85,1.0,0.2,0.1,0.32508297338944825,0.0
5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.6390318596471769,5.0,3.0,2.0,0.55,1.0,0.0,0.0,0.6390318596471769,0.0
