date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,outcome,actual_outcome,champion_pred,winner_pred,category,champ_p_away,champ_p_draw,champ_p_home,winner_p_away,winner_p_draw,winner_p_home
2025-03-25,Dominican Republic,Puerto Rico,2,0,Friendly,Santiago de los Caballeros,Dominican Republic,False,0,0,0,0,A_Both_Correct,0.7330682169748394,0.1569986069167225,0.10993317610843804,0.7174169701775712,0.16116249285631112,0.12142053696611767
2025-03-25,Colombia,Paraguay,2,2,FIFA World Cup qualification,Barranquilla,Colombia,False,1,1,0,0,D_Both_Wrong,0.7151433728591595,0.19740311728828314,0.0874535098525573,0.6861465272046714,0.21306362110625882,0.10078985168906984
2025-03-25,Russia,Zambia,5,0,Friendly,Moscow,Russia,False,0,0,0,0,A_Both_Correct,0.7412955243892551,0.18494162074063292,0.07376285487011203,0.7329443733987173,0.19528471822720583,0.0717709083740768
2025-03-25,Azerbaijan,Belarus,0,2,Friendly,Masazir,Azerbaijan,False,2,2,2,2,A_Both_Correct,0.3431666928852824,0.29187390008597486,0.3649594070287428,0.3342905108580844,0.29464925316136353,0.37106023598055193
2025-03-25,Trinidad and Tobago,Cuba,4,0,Gold Cup qualification,Couva,Trinidad and Tobago,False,0,0,0,0,A_Both_Correct,0.6318860267642649,0.24289071227633072,0.1252232609594044,0.6140389566076565,0.25329422875153257,0.13266681464081104
2025-03-25,Nicaragua,Guadeloupe,0,1,Gold Cup qualification,Managua,Nicaragua,False,2,2,2,2,A_Both_Correct,0.33184205177816295,0.2911198507715262,0.3770380974503108,0.32045757751470144,0.30220481721697157,0.3773376052683271
2025-03-25,Martinique,Suriname,0,1,Gold Cup qualification,Fort-de-France,Martinique,False,2,2,0,0,D_Both_Wrong,0.5056975717714393,0.2754414914885356,0.2188609367400251,0.49686243837969024,0.2692473483271566,0.23389021329315313
2025-03-25,Cambodia,Aruba,1,2,Friendly,Phnom Penh,Cambodia,False,2,2,0,0,D_Both_Wrong,0.5359851376455046,0.20645784888853919,0.25755701346595616,0.5216457620221451,0.199611993841582,0.27874224413627285
2025-05-09,Dominica,Barbados,0,0,Friendly,Roseau,Dominica,False,1,1,0,0,D_Both_Wrong,0.4851945879415476,0.24498229249749112,0.26982311956096144,0.48129267650630797,0.2497583250721275,0.2689489984215646
2025-05-11,Dominica,Barbados,0,0,Friendly,Roseau,Dominica,False,1,1,0,0,D_Both_Wrong,0.4518279023454224,0.2602202153835901,0.28795188227098745,0.45256996762806645,0.24807289230933663,0.29935714006259706
2025-05-21,Saint Kitts and Nevis,Saint Vincent and the Grenadines,1,3,Friendly,Old Road Town,Saint Kitts and Nevis,False,2,2,0,0,D_Both_Wrong,0.502482004551161,0.30034078880214105,0.19717720664669794,0.5046375339392815,0.30674073860537454,0.18862172745534406
